"id","hiveId","dataType1","location","calibration"
"281D189497040329",27,"AMBIENT_TEMPERATURE","device",0
"B4:8A:0A:81:06:24-BatteryVoltage",27,"BATTERY_VOLTAGE","device",0.112
"2829BE43D4E13C90",27,"TEMPERATURE","gap1",-0.8
"28691643D4E13CE8",27,"TEMPERATURE","gap2",0.08
"283E0643D4E13C3F",27,"TEMPERATURE","gap3",-0.99
"2837EC43D4E13CCE",27,"TEMPERATURE","gap4",-0.05
"281AD643D4E13C0B",27,"TEMPERATURE","gap5",-0.61
"2845FE43D4E13CC7",27,"TEMPERATURE","gap6",0.08
"28AAAC43D4E13CDC",27,"TEMPERATURE","gap7",-0.36
"285D1943D4E13CB6",27,"TEMPERATURE","gap8",-1.05
"2874FC43D4E13C9E",27,"TEMPERATURE","gap9",-0.36
"28143443D4E13C41",27,"TEMPERATURE","gap10",-0.64
"28815A43D4E13CA8",27,"TEMPERATURE","gap11",-0.83
"2854BB43D4E13C90",27,"TEMPERATURE","gap12",-0.08
"28B36243D4E13C91",27,"TEMPERATURE","gap13",-0.01
"28C5F243D4E13C0C",27,"TEMPERATURE","gap14",0.05
"28500E43D4E13CD1",27,"TEMPERATURE","gap15",-0.08
"281D1043D4E13C30",27,"TEMPERATURE","gap16",-0.2
"286A3343D4E13C9B",27,"TEMPERATURE","gap17",-0.39
"28561443D4E13CA2",27,"TEMPERATURE","gap18",-0.14
"B4:8A:0A:81:06:24-Hiveweight",27,"WEIGHT","device",0
